,city,population,average_education_index,crime_index,sixteen_plus_employed_percentage,house_median_value,edu_index_norm,employed_percentage_norm
126,Silver Lake,2257,13.42,469,71.3,190300,0.7633674630261662,0.8029279279279279
127,Osseo,1690,13.42,1025,78.5,110600,0.7633674630261662,0.884009009009009
128,Jackson,6773,13.42,366,75.5,180100,0.7633674630261662,0.8502252252252253
129,Saint Francis,9488,13.41,983,87.5,151700,0.7627986348122868,0.9853603603603603
130,Janesville,63674,13.4,1666,77.5,129200,0.7622298065984073,0.8727477477477478
131,Hazel Green,1173,13.39,359,80.9,114700,0.761660978384528,0.9110360360360361
132,Menasha,17535,13.39,1185,78,116300,0.761660978384528,0.8783783783783784
133,Milton,5562,13.38,721,77.1,129200,0.7610921501706486,0.8682432432432432
134,Kaukauna,15649,13.37,566,77.4,137200,0.7605233219567691,0.8716216216216217
135,Oshkosh,66430,13.37,1263,83.4,115300,0.7605233219567691,0.9391891891891893
136,Watertown,23899,13.34,1230,76.7,152500,0.7588168373151309,0.8637387387387389
137,Mosinee,4008,13.34,829,82.4,114900,0.7588168373151309,0.927927927927928
138,Edgerton,5478,13.34,601,77.4,138900,0.7588168373151309,0.8716216216216217
139,Fond Du Lac,43007,13.33,1374,79.9,123500,0.7582480091012515,0.8997747747747749
140,Chippewa Falls,13803,13.33,806,79.5,116600,0.7582480091012515,0.8952702702702703
141,Cumberland,2414,13.32,779,79.2,118800,0.7576791808873721,0.891891891891892
142,Westby,2246,13.32,719,75.5,106500,0.7576791808873721,0.8502252252252253
143,Kenosha,99709,13.31,1500,76.8,143900,0.7571103526734927,0.8648648648648649
